IUS Spring 2025 Course schedule Undergraduate,,,,,,
Code,Course Code and Name,Day1,Day2,Venue 1,Venue 2,Important Notes
ME304.1,ME304.1 Fluid Mechanics I,Thu. 15:00-17:50,,A F1.11,,Day and time change
ME411.1,ME411.1 Renewable Energy Technology,Tue. 12:00-14:50,,B F2.14,,
ME410.1,ME410.1 Unmanned Aerial Vehicles,Thu. 09:00-11:50,,A F1.11,,Opened
NS103.1,NS103.1 Biology,Wed. 09:00-11:50,,B F2.16,,
NS112.1,NS112.1 Understanding Science and Technology,Thu. 09:00-10:50,,B F2.15 - Amphitheater II,,"ONLY for GBE, EEE, ME Students"
NS122.1,NS122.1 Physics II,Tue. 14:00-16:50,,A F1.11,,
NS207.1,NS207.1 Organic Chemistry,Tue. 09:00-11:50,,B F2.16,,
NS209.1,NS209.1 Genetics I,Tue. 09:00-11:50,,B F2.6,,
POLS101.1,POLS101.1 Introduction to Philosophy,Wed. 09:00-11:50,,A F1.26,,
POLS211.1,POLS211.1 Politics and the Media,Mon. 09:00-11:50,,B F2.5,,
POLS302.1,POLS302.1 Contemporary Political Thought,Tue. 15:00-17:50,,B F1.16,,
POLS304.1,POLS304.1 Politics in BiH,Wed. 12:00-14:50,,A F1.11,,
POLS499.1,POLS499.1 Graduation Project,Wed. 16:00-17:50,,B F1.16,,
PSY103.1,PSY103.1 Introduction to Psychology,Fri. 13:00-15:50,,A F1.10,,
PSY103.2,PSY103.2 Introduction to Psychology,Fri. 09:00-11:50,,B F1.17,,
PSY105.1,PSY105.1 Statistics in Psychology,Fri. 09:00-11:50,,B F2.15 - Amphitheater II,,
PSY105.2,PSY105.2 Statistics in Psychology,Fri. 09:00-11:50,,B F2.15 - Amphitheater II,,
PSY303.1,PSY303.1 Personality Psychology,Mon. 09:00-11:50,,A F1.11,,
PSY308.1,PSY308.1 Social Psychology,Mon. 15:00-17:50,,A F2.3,,
PSY310.1,PSY310.1 Introduction to Psychopharmacology,Thu. 09:00-11:50,,A F1.23,,
PSY311.1,PSY311.1 Organisational Psychology,Mon. 09:00-11:50,,A F2.13,,
PSY312.1,PSY312.1 Clinical Psychology,Tue. 13:00-15:50,,A F2.13,,
PSY329.1,PSY329.1 Psychometrics,Thu. 17:00-19:50,,A F1.25,,
PSY336.1,PSY336.1 Psychotherapy and Counseling,Mon. 12:00-14:50,,B F2.15 - Amphitheater II,,
PSY402.1,PSY402.1 Experimental Psychology,Wed. 09:00-11:50,,A F1.23,,
